Gene	CC_1	CC_2	CC_3	CI_1	CI_2	CI_3	SC_1	SC_2	SI_1	SI_2	SI_3	Symbol	Chromosome	Genetype	Description
ENSMUSG00000048731.12	5.08	1.58	2.03	2.84	1.75	1.88	2.76	2.23	1.76	1.75	2.41	Ggnbp1	chr17	protein_coding	gametogenetin binding protein 1
ENSMUSG00000057406.14	1.0	1.12	1.15	0.99	0.98	0.98	1.16	0.98	1.1	1.03	1.15	Whsc1	chr5	protein_coding	Wolf-Hirschhorn syndrome candidate 1 (human)
ENSMUSG00000036737.10	9.9	12.92	12.45	12.13	10.39	10.88	14.06	11.85	11.92	11.34	11.09	Oxsr1	chr9	protein_coding	oxidative-stress responsive 1
ENSMUSG00000103900.1	0.1	0.0	0.04	0.03	0.0	0.0	0.0	0.05	0.0	0.0	0.06	Gm37500	chr3	TEC	predicted gene, 37500
ENSMUSG00000048332.11	14.1	21.61	21.82	15.35	23.53	22.0	14.16	17.5	21.28	22.43	29.27	Lhfp	chr3	protein_coding	lipoma HMGIC fusion partner
ENSMUSG00000064125.12	0.07	0.08	0.08	0.04	0.03	0.03	0.05	0.02	0.07	0.08	0.07	Prr36	chr8	protein_coding	proline rich 36
ENSMUSG00000083288.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	Csnk2a1-ps	chrX	processed_pseudogene	casein kinase 2, alpha 1, pseudogene
ENSMUSG00000001482.12	12.07	16.27	15.66	15.1	12.62	13.71	17.91	13.06	16.31	13.77	15.63	Def8	chr8	protein_coding	differentially expressed in FDCP 8
ENSMUSG00000082195.3	0.06	0.07	0.05	0.04	0.09	0.07	0.04	0.06	0.1	0.04	0.08	Gm13034	chr4	processed_pseudogene	predicted gene 13034
ENSMUSG00000082315.1	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	Gm16523	chr2	unprocessed_pseudogene	predicted gene, 16523
ENSMUSG00000073759.6	0.05	0.0	0.0	0.05	0.0	0.04	0.04	0.0	0.0	0.0	0.04	4933407E24Rik	chr4	lincRNA	RIKEN cDNA 4933407E24 gene
ENSMUSG00000060260.10	4.59	4.88	3.97	3.11	2.61	4.03	5.57	4.52	4.61	2.55	4.18	Pwwp2b	chr7	protein_coding	PWWP domain containing 2B
ENSMUSG00000097134.1	0.0	0.02	0.0	0.04	0.0	0.0	0.06	0.02	0.04	0.0	0.04	1110002J07Rik	chr10	lincRNA	RIKEN cDNA 1110002J07 gene
ENSMUSG00000039391.9	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	Ccdc81	chr7	protein_coding	coiled-coil domain containing 81
ENSMUSG00000005125.10	14.67	18.1	16.71	9.54	19.19	16.85	11.41	15.32	15.05	14.91	15.51	Ndrg1	chr15	protein_coding	N-myc downstream regulated gene 1
ENSMUSG00000079304.3	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	4933413G19Rik	chr6	protein_coding	RIKEN cDNA 4933413G19 gene
ENSMUSG00000032290.6	3.19	4.69	4.69	3.01	3.75	4.07	2.89	3.49	3.43	3.91	4.56	Ptpn9	chr9	protein_coding	protein tyrosine phosphatase, non-receptor type 9
ENSMUSG00000080847.1	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.06	Gm4773	chrX	processed_pseudogene	predicted gene 4773
ENSMUSG00000091512.3	31.08	32.47	33.74	29.95	32.16	34.48	34.73	30.68	29.56	26.58	36.67	Lamtor3	chr3	protein_coding	late endosomal/lysosomal adaptor, MAPK and MTOR activator 3
ENSMUSG00000083538.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.07	Gm16016	chr3	processed_pseudogene	predicted gene 16016
ENSMUSG00000061118.8	9.38	9.02	8.9	8.92	7.0	7.94	10.47	7.97	9.73	7.52	9.16	Dnajc30	chr5	protein_coding	DnaJ (Hsp40) homolog, subfamily C, member 30
ENSMUSG00000005677.12	13.75	13.07	13.34	12.58	11.73	11.55	11.89	12.32	12.29	10.98	13.79	Nr1i3	chr1	protein_coding	nuclear receptor subfamily 1, group I, member 3
ENSMUSG00000019762.4	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Iyd	chr10	protein_coding	iodotyrosine deiodinase
ENSMUSG00000020840.8	10.7	10.09	10.65	9.45	9.59	9.63	9.61	9.98	11.59	10.15	10.73	Blmh	chr11	protein_coding	bleomycin hydrolase
ENSMUSG00000026975.8	2.16	2.55	1.68	1.8	1.36	1.66	2.23	1.96	1.89	1.95	2.27	Dph7	chr2	protein_coding	diphthamine biosynethesis 7
ENSMUSG00000065126.1	7.04	10.22	15.25	3.3	14.08	8.45	3.05	12.6	4.73	9.07	17.82	Snord104	chr11	snoRNA	small nucleolar RNA, C/D box 104
ENSMUSG00000034209.4	8.31	7.62	5.86	4.49	2.66	6.19	5.93	4.39	6.89	5.5	3.19	Rasl10a	chr11	protein_coding	RAS-like, family 10, member A
ENSMUSG00000080530.1	0.41	0.35	0.42	0.0	0.0	0.31	0.35	0.0	0.0	0.0	0.0	Gm25540	chr11	miRNA	predicted gene, 25540
ENSMUSG00000093606.1	0.28	0.18	0.25	0.13	0.12	0.32	0.37	0.25	0.15	0.13	0.11	B130034C11Rik	chr16	processed_transcript	RIKEN cDNA B130034C11 gene
ENSMUSG00000030061.14	14.38	21.51	21.73	21.38	19.24	19.58	20.36	19.41	17.31	19.3	19.98	Uba3	chr6	protein_coding	ubiquitin-like modifier activating enzyme 3
ENSMUSG00000101941.1	0.64	0.87	1.16	0.75	0.59	0.65	0.92	0.7	0.83	1.6	1.07	Gm28979	chr9	lincRNA	predicted gene 28979
ENSMUSG00000085847.1	0.02	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.01	0.0	0.0	Gm14540	chr6	antisense	predicted gene 14540
ENSMUSG00000002076.9	0.14	0.09	0.05	0.08	0.03	0.09	0.16	0.09	0.16	0.1	0.21	Hsf2bp	chr17	protein_coding	heat shock transcription factor 2 binding protein
ENSMUSG00000058152.7	0.13	0.14	0.05	0.13	0.13	0.3	0.2	0.16	0.32	0.16	0.19	Chsy3	chr18	protein_coding	chondroitin sulfate synthase 3
ENSMUSG00000036098.13	0.65	1.07	0.67	0.77	0.59	0.69	0.92	0.83	0.74	0.98	0.21	Myrf	chr19	protein_coding	myelin regulatory factor
ENSMUSG00000081164.1	0.32	0.22	0.26	0.06	0.05	0.05	0.17	0.1	0.16	0.05	0.05	Gm8722	chrX	processed_pseudogene	predicted gene 8722
ENSMUSG00000043870.9	0.0	0.0	0.0	0.0	0.08	0.0	0.08	0.0	0.0	0.0	0.0	Gm5809	chr16	processed_pseudogene	predicted pseudogene 5809
ENSMUSG00000041720.10	6.6	7.81	7.37	8.18	6.55	6.71	9.95	7.7	8.38	7.57	7.62	Pi4ka	chr16	protein_coding	phosphatidylinositol 4-kinase, catalytic, alpha polypeptide
ENSMUSG00000100985.1	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Gm10640	chr7	antisense	predicted gene 10640
ENSMUSG00000035173.12	3.79	4.69	4.8	4.71	4.03	4.19	5.15	5.84	4.75	4.75	4.56	Ccdc186	chr19	protein_coding	coiled-coil domain containing 186
ENSMUSG00000044551.11	0.17	0.23	0.23	0.09	0.1	0.28	0.3	0.27	0.1	0.11	0.2	9930012K11Rik	chr14	protein_coding	RIKEN cDNA 9930012K11 gene
ENSMUSG00000065599.2	2.0	0.57	0.69	1.25	1.66	0.0	1.15	1.04	1.12	1.43	0.0	Mir23b	chr13	miRNA	microRNA 23b
ENSMUSG00000103526.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	Gm18900	chr1	processed_pseudogene	predicted gene, 18900
ENSMUSG00000031210.8	0.0	0.03	0.02	0.0	0.01	0.03	0.01	0.02	0.07	0.03	0.01	Gpr165	chrX	protein_coding	G protein-coupled receptor 165
ENSMUSG00000089663.1	0.08	0.07	0.12	0.13	0.18	0.07	0.12	0.08	0.05	0.1	0.08	Gm15651	chr16	processed_transcript	predicted gene 15651
ENSMUSG00000021671.8	3.12	3.33	2.76	2.88	2.48	2.66	2.99	3.63	2.33	2.34	2.76	Poc5	chr13	protein_coding	POC5 centriolar protein homolog (Chlamydomonas)
ENSMUSG00000039059.9	0.04	0.06	0.0	0.1	0.0	0.0	0.05	0.0	0.03	0.04	0.0	Hrh3	chr2	protein_coding	histamine receptor H3
ENSMUSG00000104684.1	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	RP24-270K7.3	chr5	lincRNA	--
ENSMUSG00000085760.1	0.0	0.0	0.0	0.24	0.0	0.1	0.0	0.0	0.0	0.0	0.0	Gm14302	chr2	antisense	predicted gene 14302
ENSMUSG00000091780.2	2.93	3.42	3.65	2.14	3.23	4.04	2.54	3.22	2.17	2.99	4.01	Sco2	chr15	protein_coding	SCO cytochrome oxidase deficient homolog 2 (yeast)
ENSMUSG00000098009.1	0.0	0.07	0.0	0.04	0.03	0.06	0.04	0.06	0.0	0.06	0.03	Gm5597	chr7	processed_pseudogene	predicted gene 5597
ENSMUSG00000021224.12	7.06	8.01	7.37	5.94	6.51	6.93	5.45	6.96	5.63	6.35	8.31	Numb	chr12	protein_coding	numb gene homolog (Drosophila)
ENSMUSG00000041124.10	12.44	16.7	15.5	16.1	10.72	15.63	18.24	13.09	11.36	12.99	14.03	Msantd4	chr9	protein_coding	Myb/SANT-like DNA-binding domain containing 4 with coiled-coils
ENSMUSG00000020715.7	1.37	2.13	1.79	1.9	1.61	1.41	2.48	2.2	1.76	1.8	1.92	Ern1	chr11	protein_coding	endoplasmic reticulum (ER) to nucleus signalling 1
ENSMUSG00000001227.9	7.75	6.75	4.49	4.77	7.05	5.46	4.32	3.31	7.63	5.84	5.49	Sema6b	chr17	protein_coding	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B
ENSMUSG00000036427.4	295.31	237.61	226.38	275.32	217.94	233.8	295.33	228.32	300.17	226.36	247.24	Gpi1	chr7	protein_coding	glucose phosphate isomerase 1
ENSMUSG00000025532.11	5.16	6.34	5.72	4.15	5.53	4.9	6.21	6.4	5.4	5.6	6.23	Crcp	chr5	protein_coding	calcitonin gene-related peptide-receptor component protein
ENSMUSG00000083090.1	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	Gm11736	chr11	processed_pseudogene	predicted gene 11736
ENSMUSG00000016319.3	175.82	210.65	205.39	179.82	173.21	208.71	179.0	176.46	128.09	172.29	211.2	Slc25a5	chrX	protein_coding	solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 5
ENSMUSG00000044005.11	0.11	0.15	0.14	0.13	0.16	0.36	0.15	0.31	0.08	0.11	0.2	Gls2	chr10	protein_coding	glutaminase 2 (liver, mitochondrial)
ENSMUSG00000029189.8	0.09	0.2	0.15	0.13	0.15	0.19	0.16	0.16	0.41	0.1	0.42	Sel1l3	chr5	protein_coding	sel-1 suppressor of lin-12-like 3 (C. elegans)
ENSMUSG00000043008.8	2.4	3.12	2.71	2.28	2.12	2.0	2.63	2.31	1.87	2.42	2.92	Klhl6	chr16	protein_coding	kelch-like 6
ENSMUSG00000029420.10	0.0	0.01	0.0	0.01	0.01	0.01	0.01	0.0	0.01	0.02	0.01	Rimbp2	chr5	protein_coding	RIMS binding protein 2
ENSMUSG00000049751.6	65.23	48.53	46.43	56.55	50.98	48.21	51.75	46.09	57.4	47.57	48.49	Rpl36al	chr12	protein_coding	ribosomal protein L36A-like
ENSMUSG00000081340.1	0.16	0.0	0.17	0.0	0.0	0.12	0.14	0.12	0.0	0.0	0.0	Gm12275	chr11	processed_pseudogene	predicted gene 12275
ENSMUSG00000028436.8	7.71	9.63	8.76	7.9	8.42	7.93	8.1	9.94	8.45	8.09	9.4	Dcaf12	chr4	protein_coding	DDB1 and CUL4 associated factor 12
ENSMUSG00000029578.13	7.58	7.93	7.52	6.51	6.71	6.45	7.04	8.66	6.49	6.64	7.06	Wipi2	chr5	protein_coding	WD repeat domain, phosphoinositide interacting 2
ENSMUSG00000098620.1	0.0	0.0	0.06	0.36	0.0	0.0	0.24	0.09	0.18	0.12	0.04	Gm27209	chr15	antisense	predicted gene 27209
ENSMUSG00000083250.1	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	Gm5403	chrX	processed_pseudogene	predicted gene 5403
ENSMUSG00000020843.13	8.51	9.19	8.84	8.81	7.55	8.62	7.97	6.96	7.19	8.11	9.0	Timm22	chr11	protein_coding	translocase of inner mitochondrial membrane 22
ENSMUSG00000101191.4	0.0	0.05	0.13	0.0	0.0	0.0	0.11	0.1	0.05	0.0	0.15	Gm28809	chr6	antisense	predicted gene 28809
ENSMUSG00000090659.6	0.19	0.15	0.11	0.03	0.06	0.1	0.23	0.18	0.06	0.06	0.12	Zfp493	chr13	protein_coding	zinc finger protein 493
ENSMUSG00000032580.10	15.32	11.96	12.69	10.2	11.54	13.47	12.32	18.11	7.74	11.17	13.01	Rbm5	chr9	protein_coding	RNA binding motif protein 5
ENSMUSG00000046879.6	7.01	7.26	6.43	7.09	14.34	8.34	5.99	6.52	6.5	8.6	8.28	Irgm1	chr11	protein_coding	immunity-related GTPase family M member 1
ENSMUSG00000022494.11	0.1	0.05	0.05	0.04	0.04	0.01	0.03	0.1	0.22	0.09	0.06	Shisa9	chr16	protein_coding	shisa family member 9
ENSMUSG00000070732.2	0.01	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.01	Rbm44	chr1	protein_coding	RNA binding motif protein 44
ENSMUSG00000026417.11	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.13	0.0	0.0	Pigr	chr1	protein_coding	polymeric immunoglobulin receptor
ENSMUSG00000044791.14	4.11	4.67	3.91	3.94	3.41	4.22	4.71	4.13	3.82	4.33	3.8	Setd2	chr9	protein_coding	SET domain containing 2
ENSMUSG00000057074.6	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ces1g	chr8	protein_coding	carboxylesterase 1G
ENSMUSG00000031583.10	0.8	1.09	1.01	0.94	0.88	0.97	0.98	1.08	0.88	0.87	0.88	Wrn	chr8	protein_coding	Werner syndrome homolog (human)
ENSMUSG00000024160.14	11.26	10.63	12.17	10.89	9.8	11.81	12.51	10.1	10.24	9.11	13.53	Spsb3	chr17	protein_coding	splA/ryanodine receptor domain and SOCS box containing 3
ENSMUSG00000024354.9	0.08	0.06	0.05	0.05	0.04	0.01	0.04	0.0	0.07	0.06	0.04	Slc23a1	chr18	protein_coding	solute carrier family 23 (nucleobase transporters), member 1
ENSMUSG00000024644.14	15.33	16.52	15.23	13.47	15.97	16.48	14.74	13.43	14.5	15.09	14.7	Cndp2	chr18	protein_coding	CNDP dipeptidase 2 (metallopeptidase M20 family)
ENSMUSG00000007480.3	0.0	0.0	0.04	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	Mc5r	chr18	protein_coding	melanocortin 5 receptor
ENSMUSG00000041040.10	6.31	9.15	6.34	2.4	4.2	3.51	4.04	3.6	2.7	5.44	2.91	Fam117b	chr1	protein_coding	family with sequence similarity 117, member B
ENSMUSG00000086103.1	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	Gm11832	chr4	antisense	predicted gene 11832
ENSMUSG00000063447.7	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.02	0.0	0.0	Ube2d2b	chr5	protein_coding	ubiquitin-conjugating enzyme E2D 2B
ENSMUSG00000103442.3	0.1	0.09	0.1	0.13	0.13	0.12	0.14	0.11	0.11	0.06	0.08	Pcdha1	chr18	protein_coding	protocadherin alpha 1
ENSMUSG00000037210.14	3.08	2.71	2.62	2.62	2.3	2.63	3.7	3.07	2.28	2.85	2.65	Fam193a	chr5	protein_coding	family with sequence similarity 193, member A
ENSMUSG00000094326.1	0.0	0.09	0.0	0.0	0.0	0.15	0.0	0.0	0.17	0.22	0.0	Gm10045	chr17	processed_pseudogene	predicted pseudogene 10045
ENSMUSG00000027445.3	0.07	0.0	0.22	0.0	0.0	0.0	0.0	0.11	0.0	0.1	0.0	Cst9	chr2	protein_coding	cystatin 9
ENSMUSG00000070369.11	0.25	0.15	0.3	0.4	0.53	0.23	0.15	0.27	0.32	0.56	0.26	Itgad	chr7	protein_coding	integrin, alpha D
ENSMUSG00000103625.1	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	Gm37357	chr1	TEC	predicted gene, 37357
ENSMUSG00000092713.1	0.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46	0.0	Gm22858	chr17	snoRNA	predicted gene, 22858
ENSMUSG00000072576.5	0.0	0.0	0.24	0.0	0.59	0.18	0.0	0.0	0.2	0.0	0.19	Gm16020	chr5	processed_pseudogene	predicted gene 16020
ENSMUSG00000102980.1	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Gm38321	chr7	TEC	predicted gene, 38321
ENSMUSG00000038600.10	0.11	0.14	0.09	0.17	0.05	0.22	0.12	0.14	0.27	0.06	0.21	Atp6v0a4	chr6	protein_coding	ATPase, H+ transporting, lysosomal V0 subunit A4
ENSMUSG00000041199.2	2.11	2.22	1.94	1.98	1.76	2.63	2.41	2.45	2.55	1.84	2.41	Rpusd1	chr17	protein_coding	RNA pseudouridylate synthase domain containing 1
ENSMUSG00000013593.10	645.74	575.12	572.98	523.96	541.93	551.42	608.28	565.19	557.35	554.1	608.52	Ndufs2	chr1	protein_coding	NADH dehydrogenase (ubiquinone) Fe-S protein 2
ENSMUSG00000064450.1	1.15	0.49	0.0	0.54	0.0	0.43	0.5	0.45	0.0	0.0	0.47	Snord68	chr8	snoRNA	small nucleolar RNA, C/D box 68
ENSMUSG00000030089.13	5.65	5.97	10.56	10.56	10.98	6.39	7.58	11.43	10.09	7.16	19.65	Slc41a3	chr6	protein_coding	solute carrier family 41, member 3
ENSMUSG00000031979.15	4.45	6.18	6.21	5.49	5.57	4.51	5.9	5.3	5.17	5.24	6.0	Cog2	chr8	protein_coding	component of oligomeric golgi complex 2
ENSMUSG00000039065.10	8.22	7.3	8.17	8.45	6.53	7.81	6.31	7.55	7.46	7.12	9.09	Fam173b	chr15	protein_coding	family with sequence similarity 173, member B
ENSMUSG00000028868.11	14.29	21.39	17.16	11.31	15.67	14.51	11.82	14.73	12.13	15.93	13.97	Wasf2	chr4	protein_coding	WAS protein family, member 2
ENSMUSG00000091694.6	0.0	0.0	0.07	0.0	0.02	0.02	0.0	0.0	0.0	0.0	0.0	Apol11b	chr15	protein_coding	apolipoprotein L 11b
ENSMUSG00000105912.1	0.04	0.0	0.0	0.02	0.01	0.0	0.0	0.0	0.0	0.01	0.0	RP24-482F14.1	chr5	lincRNA	--
ENSMUSG00000066043.11	5.44	5.46	4.73	4.2	4.21	4.21	4.36	4.07	3.79	4.82	4.17	Phactr4	chr4	protein_coding	phosphatase and actin regulator 4
ENSMUSG00000082461.1	0.04	0.0	0.0	0.0	0.03	0.01	0.0	0.01	0.0	0.0	0.02	Gm8844	chrX	processed_pseudogene	predicted gene 8844
ENSMUSG00000037754.11	2.23	2.55	1.88	1.33	2.08	2.4	1.87	2.88	1.11	1.5	2.03	Ppp1r16b	chr2	protein_coding	protein phosphatase 1, regulatory (inhibitor) subunit 16B
ENSMUSG00000058486.9	3.24	4.66	3.71	2.86	2.77	3.61	3.33	3.98	2.9	3.26	4.67	Wdr91	chr6	protein_coding	WD repeat domain 91
ENSMUSG00000030310.8	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.01	0.0	0.0	0.0	Slc6a1	chr6	protein_coding	solute carrier family 6 (neurotransmitter transporter, GABA), member 1
ENSMUSG00000028910.10	13.28	12.05	10.53	11.09	11.73	10.61	12.84	9.58	10.27	9.84	11.47	Mecr	chr4	protein_coding	mitochondrial trans-2-enoyl-CoA reductase
ENSMUSG00000031444.14	0.11	0.06	0.11	0.03	0.11	0.08	0.03	0.09	0.0	0.01	0.01	F10	chr8	protein_coding	coagulation factor X
ENSMUSG00000001911.14	16.42	19.68	18.6	25.56	17.28	15.87	27.02	17.86	29.43	19.25	21.39	Nfix	chr8	protein_coding	nuclear factor I/X
ENSMUSG00000097233.1	0.03	0.07	0.04	0.02	0.02	0.02	0.03	0.02	0.03	0.02	0.02	Gm17552	chr19	lincRNA	predicted gene, 17552
ENSMUSG00000091013.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	Vmn1r1	chr1	protein_coding	vomeronasal 1 receptor 1
ENSMUSG00000001847.12	26.92	32.1	32.42	28.62	29.63	30.26	30.68	30.77	31.77	31.5	33.71	Rac1	chr5	protein_coding	RAS-related C3 botulinum substrate 1
ENSMUSG00000097754.1	0.03	0.0	0.0	0.0	0.0	0.02	0.0	0.02	0.0	0.0	0.0	Ptgs2os2	chr1	lincRNA	prostaglandin-endoperoxide synthase 2, opposite strand 2
ENSMUSG00000043683.3	33.19	51.2	46.42	38.61	33.76	37.19	47.58	40.26	40.0	40.26	41.16	Fem1a	chr17	protein_coding	feminization 1 homolog a (C. elegans)
ENSMUSG00000031621.7	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	Isx	chr8	protein_coding	intestine specific homeobox
ENSMUSG00000022629.14	2.38	3.83	3.57	4.3	3.42	3.57	4.55	3.86	4.46	3.55	3.73	Kif21a	chr15	protein_coding	kinesin family member 21A
ENSMUSG00000041707.7	0.6	0.63	0.52	0.34	0.28	0.25	0.23	0.36	0.14	0.24	0.44	1810011H11Rik	chr14	protein_coding	RIKEN cDNA 1810011H11 gene
ENSMUSG00000080700.2	0.0	0.0	0.0	0.0	0.0	0.08	0.09	0.0	0.0	0.0	0.09	Gm15981	chr5	transcribed_processed_pseudogene	predicted gene 15981
ENSMUSG00000088423.1	0.34	0.0	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Gm22554	chr10	snoRNA	predicted gene, 22554
ENSMUSG00000038696.12	8.17	10.05	9.71	10.0	9.59	10.67	10.26	9.0	8.66	9.52	12.44	Mapkap1	chr2	protein_coding	mitogen-activated protein kinase associated protein 1
ENSMUSG00000015305.5	6.0	7.09	6.88	6.37	10.38	8.34	5.2	7.1	9.53	10.13	8.69	Sash1	chr10	protein_coding	SAM and SH3 domain containing 1
ENSMUSG00000081650.1	0.0	0.45	0.36	0.73	0.29	0.33	0.15	0.2	0.29	0.12	0.14	Gm16181	chr17	protein_coding	predicted gene 16181
ENSMUSG00000032534.14	10.12	10.53	11.94	10.36	10.03	10.28	12.09	10.89	9.91	9.42	10.98	Cep63	chr9	protein_coding	centrosomal protein 63
ENSMUSG00000024248.11	163.26	146.69	142.42	136.99	136.75	151.17	136.57	135.43	119.88	142.35	141.24	Cox7a2l	chr17	protein_coding	cytochrome c oxidase subunit VIIa polypeptide 2-like
ENSMUSG00000083927.1	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	Gm14749	chrX	processed_pseudogene	predicted gene 14749
ENSMUSG00000030602.10	4.28	4.63	4.56	4.5	5.31	5.02	5.1	5.04	7.29	5.59	6.25	Pak4	chr7	protein_coding	p21 protein (Cdc42/Rac)-activated kinase 4
ENSMUSG00000004110.12	0.01	0.01	0.01	0.02	0.01	0.0	0.02	0.02	0.0	0.01	0.01	Cacna1e	chr1	protein_coding	calcium channel, voltage-dependent, R type, alpha 1E subunit
ENSMUSG00000032285.13	30.17	34.62	32.25	39.93	56.41	43.55	33.7	29.08	67.22	65.13	49.73	Dnaja4	chr9	protein_coding	DnaJ (Hsp40) homolog, subfamily A, member 4
ENSMUSG00000080796.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	Gm9159	chrX	processed_pseudogene	predicted gene 9159
ENSMUSG00000029417.9	0.87	1.27	1.09	1.02	2.54	1.47	0.67	1.01	0.82	1.77	2.08	Cxcl9	chr5	protein_coding	chemokine (C-X-C motif) ligand 9
ENSMUSG00000036564.14	59.89	51.18	45.56	77.04	49.61	38.55	56.09	54.09	55.17	58.92	47.72	Ndrg4	chr8	protein_coding	N-myc downstream regulated gene 4
ENSMUSG00000055865.8	0.65	0.52	0.4	0.59	0.32	0.33	0.48	0.3	0.54	0.39	0.91	Fam19a3	chr3	protein_coding	family with sequence similarity 19, member A3
ENSMUSG00000025922.8	0.18	0.0	0.06	0.0	0.0	0.09	0.0	0.05	0.2	0.04	0.0	Gm5045	chr15	processed_pseudogene	predicted gene 5045
ENSMUSG00000051279.2	0.14	0.65	0.32	0.29	0.26	0.37	0.24	0.26	0.25	0.24	0.27	Gdf6	chr4	protein_coding	growth differentiation factor 6
ENSMUSG00000030671.8	0.46	0.67	0.71	0.44	0.92	1.32	0.7	1.11	1.48	0.67	1.32	Pde3b	chr7	protein_coding	phosphodiesterase 3B, cGMP-inhibited
ENSMUSG00000026944.16	8.15	8.87	6.74	8.97	5.49	6.39	10.76	7.03	8.95	6.11	7.22	Abca2	chr2	protein_coding	ATP-binding cassette, sub-family A (ABC1), member 2
ENSMUSG00000059316.2	5.07	5.46	5.44	4.52	4.55	4.89	6.74	5.39	4.94	4.57	5.47	Slc27a4	chr2	protein_coding	solute carrier family 27 (fatty acid transporter), member 4
ENSMUSG00000097426.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04	0.0	Gm8941	chr1	processed_pseudogene	predicted gene 8941
ENSMUSG00000032452.10	0.14	0.11	0.11	0.18	0.09	0.1	0.2	0.09	0.16	0.17	0.18	Clstn2	chr9	protein_coding	calsyntenin 2
ENSMUSG00000002265.13	1.07	0.69	0.74	0.97	0.71	0.8	0.79	1.36	0.92	0.74	0.82	Peg3	chr7	protein_coding	paternally expressed 3
ENSMUSG00000106664.1	0.0	0.04	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.08	RP23-338P12.3	chr5	processed_pseudogene	--
ENSMUSG00000103735.1	0.29	0.0	0.74	0.0	0.84	0.54	0.62	0.22	0.24	0.1	0.35	Gm38317	chr3	processed_pseudogene	predicted gene, 38317
ENSMUSG00000023911.10	0.71	0.79	0.15	0.4	0.47	0.32	0.25	0.28	0.42	0.61	0.58	Flywch2	chr17	protein_coding	FLYWCH family member 2
ENSMUSG00000043157.7	0.3	0.85	0.58	0.47	0.5	0.27	0.35	0.49	0.17	0.36	0.65	Arl11	chr14	protein_coding	ADP-ribosylation factor-like 11
ENSMUSG00000036395.12	0.03	0.09	0.05	0.02	0.12	0.11	0.12	0.12	0.08	0.02	0.07	Glb1l2	chr9	protein_coding	galactosidase, beta 1-like 2
ENSMUSG00000102602.1	0.68	0.15	0.32	0.56	0.08	0.18	0.45	0.36	0.14	0.24	0.32	A930004J17Rik	chr4	TEC	RIKEN cDNA A930004J17 gene
ENSMUSG00000071265.7	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.07	0.0	1700086L19Rik	chr12	lincRNA	RIKEN cDNA 1700086L19 gene
ENSMUSG00000059897.4	1.19	2.32	3.34	2.44	1.96	2.57	2.74	2.29	2.03	2.19	2.34	Zfp930	chr8	protein_coding	zinc finger protein 930
ENSMUSG00000104724.1	0.06	0.02	0.0	0.03	0.02	0.04	0.02	0.07	0.02	0.02	0.0	RP24-428N8.5	chr3	TEC	--
ENSMUSG00000090114.1	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Gm3076	chr3	processed_pseudogene	predicted gene 3076
